Day,Date,Time_Interval,Calls_Offered,Calls_Answered,Calls_Abandoned,Abandonment_Rate_%,Average_Handle_Time_Seconds,Average_Speed_of_Answer_Seconds
Monday,1/6/25,08:00-08:15,18,17,1,5.56%,258,52
Monday,1/6/25,08:15-08:30,14,13,1,7.14%,264,48
Monday,1/6/25,08:30-08:45,11,11,0,0.00%,276,28
Monday,1/6/25,08:45-09:00,9,9,0,0.00%,270,24
Monday,1/6/25,09:00-09:15,28,27,1,3.57%,264,45
Monday,1/6/25,09:15-09:30,19,19,0,0.00%,270,32
Monday,1/6/25,09:30-09:45,16,16,0,0.00%,276,30
Monday,1/6/25,09:45-10:00,13,13,0,0.00%,264,26
Monday,1/6/25,10:00-10:15,35,33,2,5.71%,276,58
Monday,1/6/25,10:15-10:30,24,23,1,4.17%,270,46
Monday,1/6/25,10:30-10:45,20,20,0,0.00%,264,34
Monday,1/6/25,10:45-11:00,16,16,0,0.00%,270,30
Monday,1/6/25,11:00-11:15,32,30,2,6.25%,282,55
Monday,1/6/25,11:15-11:30,22,21,1,4.55%,276,44
Monday,1/6/25,11:30-11:45,18,18,0,0.00%,264,32
Monday,1/6/25,11:45-12:00,15,15,0,0.00%,270,28
Monday,1/6/25,12:00-12:15,22,21,1,4.55%,258,42
Monday,1/6/25,12:15-12:30,15,15,0,0.00%,264,30
Monday,1/6/25,12:30-12:45,12,12,0,0.00%,270,25
Monday,1/6/25,12:45-13:00,10,10,0,0.00%,264,23
Monday,1/6/25,13:00-13:15,26,25,1,3.85%,276,43
Monday,1/6/25,13:15-13:30,18,18,0,0.00%,270,32
Monday,1/6/25,13:30-13:45,15,15,0,0.00%,264,28
Monday,1/6/25,13:45-14:00,12,12,0,0.00%,270,25
Monday,1/6/25,14:00-14:15,30,28,2,6.67%,282,56
Monday,1/6/25,14:15-14:30,21,20,1,4.76%,276,44
Monday,1/6/25,14:30-14:45,17,17,0,0.00%,264,31
Monday,1/6/25,14:45-15:00,14,14,0,0.00%,270,27
Monday,1/6/25,15:00-15:15,24,23,1,4.17%,270,42
Monday,1/6/25,15:15-15:30,17,17,0,0.00%,264,31
Monday,1/6/25,15:30-15:45,14,14,0,0.00%,270,27
Monday,1/6/25,15:45-16:00,11,11,0,0.00%,264,24
Monday,1/6/25,16:00-16:15,20,19,1,5.00%,276,46
Monday,1/6/25,16:15-16:30,14,14,0,0.00%,270,27
Monday,1/6/25,16:30-16:45,11,11,0,0.00%,264,24
Monday,1/6/25,16:45-17:00,9,9,0,0.00%,270,22
Tuesday,1/7/25,08:00-08:15,15,14,1,6.67%,264,50
Tuesday,1/7/25,08:15-08:30,11,11,0,0.00%,270,26
Tuesday,1/7/25,08:30-08:45,9,9,0,0.00%,264,22
Tuesday,1/7/25,08:45-09:00,7,7,0,0.00%,276,20
Tuesday,1/7/25,09:00-09:15,23,22,1,4.35%,270,44
Tuesday,1/7/25,09:15-09:30,16,16,0,0.00%,264,30
Tuesday,1/7/25,09:30-09:45,13,13,0,0.00%,270,27
Tuesday,1/7/25,09:45-10:00,11,11,0,0.00%,264,24
Tuesday,1/7/25,10:00-10:15,29,27,2,6.90%,276,54
Tuesday,1/7/25,10:15-10:30,20,20,0,0.00%,270,34
Tuesday,1/7/25,10:30-10:45,16,16,0,0.00%,264,30
Tuesday,1/7/25,10:45-11:00,13,13,0,0.00%,270,26
Tuesday,1/7/25,11:00-11:15,27,26,1,3.70%,276,43
Tuesday,1/7/25,11:15-11:30,19,19,0,0.00%,270,32
Tuesday,1/7/25,11:30-11:45,15,15,0,0.00%,264,28
Tuesday,1/7/25,11:45-12:00,12,12,0,0.00%,270,25
Tuesday,1/7/25,12:00-12:15,18,17,1,5.56%,264,40
Tuesday,1/7/25,12:15-12:30,13,13,0,0.00%,270,27
Tuesday,1/7/25,12:30-12:45,10,10,0,0.00%,264,23
Tuesday,1/7/25,12:45-13:00,8,8,0,0.00%,270,21
Tuesday,1/7/25,13:00-13:15,22,21,1,4.55%,276,42
Tuesday,1/7/25,13:15-13:30,15,15,0,0.00%,270,28
Tuesday,1/7/25,13:30-13:45,13,13,0,0.00%,264,26
Tuesday,1/7/25,13:45-14:00,10,10,0,0.00%,270,23
Tuesday,1/7/25,14:00-14:15,25,24,1,4.00%,276,42
Tuesday,1/7/25,14:15-14:30,18,18,0,0.00%,270,32
Tuesday,1/7/25,14:30-14:45,14,14,0,0.00%,264,27
Tuesday,1/7/25,14:45-15:00,12,12,0,0.00%,270,25
Tuesday,1/7/25,15:00-15:15,20,19,1,5.00%,270,41
Tuesday,1/7/25,15:15-15:30,14,14,0,0.00%,264,27
Tuesday,1/7/25,15:30-15:45,11,11,0,0.00%,270,24
Tuesday,1/7/25,15:45-16:00,9,9,0,0.00%,264,22
Tuesday,1/7/25,16:00-16:15,16,15,1,6.25%,276,45
Tuesday,1/7/25,16:15-16:30,11,11,0,0.00%,270,24
Tuesday,1/7/25,16:30-16:45,9,9,0,0.00%,264,22
Tuesday,1/7/25,16:45-17:00,7,7,0,0.00%,270,20
Wednesday,1/8/25,08:00-08:15,14,13,1,7.14%,264,48
Wednesday,1/8/25,08:15-08:30,10,10,0,0.00%,270,24
Wednesday,1/8/25,08:30-08:45,8,8,0,0.00%,264,21
Wednesday,1/8/25,08:45-09:00,7,7,0,0.00%,276,20
Wednesday,1/8/25,09:00-09:15,21,20,1,4.76%,270,42
Wednesday,1/8/25,09:15-09:30,15,15,0,0.00%,264,28
Wednesday,1/8/25,09:30-09:45,12,12,0,0.00%,270,25
Wednesday,1/8/25,09:45-10:00,10,10,0,0.00%,264,23
Wednesday,1/8/25,10:00-10:15,27,26,1,3.70%,276,43
Wednesday,1/8/25,10:15-10:30,19,19,0,0.00%,270,32
Wednesday,1/8/25,10:30-10:45,15,15,0,0.00%,264,28
Wednesday,1/8/25,10:45-11:00,12,12,0,0.00%,270,25
Wednesday,1/8/25,11:00-11:15,25,24,1,4.00%,276,42
Wednesday,1/8/25,11:15-11:30,18,18,0,0.00%,270,32
Wednesday,1/8/25,11:30-11:45,14,14,0,0.00%,264,27
Wednesday,1/8/25,11:45-12:00,11,11,0,0.00%,270,24
Wednesday,1/8/25,12:00-12:15,17,16,1,5.88%,264,39
Wednesday,1/8/25,12:15-12:30,12,12,0,0.00%,270,25
Wednesday,1/8/25,12:30-12:45,9,9,0,0.00%,264,22
Wednesday,1/8/25,12:45-13:00,8,8,0,0.00%,270,21
Wednesday,1/8/25,13:00-13:15,20,19,1,5.00%,276,41
Wednesday,1/8/25,13:15-13:30,14,14,0,0.00%,270,27
Wednesday,1/8/25,13:30-13:45,12,12,0,0.00%,264,25
Wednesday,1/8/25,13:45-14:00,9,9,0,0.00%,270,22
Wednesday,1/8/25,14:00-14:15,23,22,1,4.35%,276,42
Wednesday,1/8/25,14:15-14:30,16,16,0,0.00%,270,30
Wednesday,1/8/25,14:30-14:45,13,13,0,0.00%,264,27
Wednesday,1/8/25,14:45-15:00,11,11,0,0.00%,270,24
Wednesday,1/8/25,15:00-15:15,18,17,1,5.56%,270,40
Wednesday,1/8/25,15:15-15:30,13,13,0,0.00%,264,27
Wednesday,1/8/25,15:30-15:45,10,10,0,0.00%,270,23
Wednesday,1/8/25,15:45-16:00,8,8,0,0.00%,264,21
Wednesday,1/8/25,16:00-16:15,15,14,1,6.67%,276,45
Wednesday,1/8/25,16:15-16:30,10,10,0,0.00%,270,24
Wednesday,1/8/25,16:30-16:45,8,8,0,0.00%,264,21
Wednesday,1/8/25,16:45-17:00,6,6,0,0.00%,270,19
Thursday,1/9/25,08:00-08:15,16,15,1,6.25%,264,47
Thursday,1/9/25,08:15-08:30,12,12,0,0.00%,270,25
Thursday,1/9/25,08:30-08:45,9,9,0,0.00%,264,22
Thursday,1/9/25,08:45-09:00,8,8,0,0.00%,276,21
Thursday,1/9/25,09:00-09:15,24,23,1,4.17%,270,43
Thursday,1/9/25,09:15-09:30,17,17,0,0.00%,264,31
Thursday,1/9/25,09:30-09:45,13,13,0,0.00%,270,27
Thursday,1/9/25,09:45-10:00,11,11,0,0.00%,264,24
Thursday,1/9/25,10:00-10:15,28,27,1,3.57%,276,44
Thursday,1/9/25,10:15-10:30,20,20,0,0.00%,270,34
Thursday,1/9/25,10:30-10:45,16,16,0,0.00%,264,30
Thursday,1/9/25,10:45-11:00,13,13,0,0.00%,270,26
Thursday,1/9/25,11:00-11:15,26,25,1,3.85%,276,43
Thursday,1/9/25,11:15-11:30,18,18,0,0.00%,270,32
Thursday,1/9/25,11:30-11:45,15,15,0,0.00%,264,28
Thursday,1/9/25,11:45-12:00,12,12,0,0.00%,270,25
Thursday,1/9/25,12:00-12:15,19,18,1,5.26%,264,41
Thursday,1/9/25,12:15-12:30,13,13,0,0.00%,270,27
Thursday,1/9/25,12:30-12:45,11,11,0,0.00%,264,24
Thursday,1/9/25,12:45-13:00,9,9,0,0.00%,270,22
Thursday,1/9/25,13:00-13:15,23,22,1,4.35%,276,42
Thursday,1/9/25,13:15-13:30,16,16,0,0.00%,270,30
Thursday,1/9/25,13:30-13:45,13,13,0,0.00%,264,27
Thursday,1/9/25,13:45-14:00,10,10,0,0.00%,270,23
Thursday,1/9/25,14:00-14:15,26,25,1,3.85%,276,43
Thursday,1/9/25,14:15-14:30,18,18,0,0.00%,270,32
Thursday,1/9/25,14:30-14:45,15,15,0,0.00%,264,28
Thursday,1/9/25,14:45-15:00,12,12,0,0.00%,270,25
Thursday,1/9/25,15:00-15:15,21,20,1,4.76%,270,42
Thursday,1/9/25,15:15-15:30,15,15,0,0.00%,264,28
Thursday,1/9/25,15:30-15:45,12,12,0,0.00%,270,25
Thursday,1/9/25,15:45-16:00,9,9,0,0.00%,264,22
Thursday,1/9/25,16:00-16:15,17,16,1,5.88%,276,43
Thursday,1/9/25,16:15-16:30,12,12,0,0.00%,270,25
Thursday,1/9/25,16:30-16:45,9,9,0,0.00%,264,22
Thursday,1/9/25,16:45-17:00,7,7,0,0.00%,270,20
Friday,1/10/25,08:00-08:15,13,12,1,7.69%,264,46
Friday,1/10/25,08:15-08:30,10,10,0,0.00%,270,24
Friday,1/10/25,08:30-08:45,8,8,0,0.00%,264,21
Friday,1/10/25,08:45-09:00,6,6,0,0.00%,276,19
Friday,1/10/25,09:00-09:15,20,19,1,5.00%,270,41
Friday,1/10/25,09:15-09:30,14,14,0,0.00%,264,27
Friday,1/10/25,09:30-09:45,11,11,0,0.00%,270,24
Friday,1/10/25,09:45-10:00,9,9,0,0.00%,264,22
Friday,1/10/25,10:00-10:15,24,23,1,4.17%,276,43
Friday,1/10/25,10:15-10:30,17,17,0,0.00%,270,31
Friday,1/10/25,10:30-10:45,14,14,0,0.00%,264,27
Friday,1/10/25,10:45-11:00,11,11,0,0.00%,270,24
Friday,1/10/25,11:00-11:15,22,21,1,4.55%,276,42
Friday,1/10/25,11:15-11:30,15,15,0,0.00%,270,28
Friday,1/10/25,11:30-11:45,13,13,0,0.00%,264,26
Friday,1/10/25,11:45-12:00,10,10,0,0.00%,270,23
Friday,1/10/25,12:00-12:15,16,15,1,6.25%,264,39
Friday,1/10/25,12:15-12:30,11,11,0,0.00%,270,24
Friday,1/10/25,12:30-12:45,9,9,0,0.00%,264,22
Friday,1/10/25,12:45-13:00,7,7,0,0.00%,270,20
Friday,1/10/25,13:00-13:15,18,17,1,5.56%,276,40
Friday,1/10/25,13:15-13:30,13,13,0,0.00%,270,27
Friday,1/10/25,13:30-13:45,10,10,0,0.00%,264,23
Friday,1/10/25,13:45-14:00,8,8,0,0.00%,270,21
Friday,1/10/25,14:00-14:15,21,20,1,4.76%,276,42
Friday,1/10/25,14:15-14:30,15,15,0,0.00%,270,28
Friday,1/10/25,14:30-14:45,12,12,0,0.00%,264,25
Friday,1/10/25,14:45-15:00,10,10,0,0.00%,270,23
Friday,1/10/25,15:00-15:15,16,15,1,6.25%,270,39
Friday,1/10/25,15:15-15:30,11,11,0,0.00%,264,24
Friday,1/10/25,15:30-15:45,9,9,0,0.00%,270,22
Friday,1/10/25,15:45-16:00,7,7,0,0.00%,264,20
Friday,1/10/25,16:00-16:15,13,12,1,7.69%,276,44
Friday,1/10/25,16:15-16:30,9,9,0,0.00%,270,22
Friday,1/10/25,16:30-16:45,7,7,0,0.00%,264,20
Friday,1/10/25,16:45-17:00,5,5,0,0.00%,270,18
Saturday,1/11/25,08:00-08:15,8,8,0,0.00%,264,21
Saturday,1/11/25,08:15-08:30,6,6,0,0.00%,270,19
Saturday,1/11/25,08:30-08:45,5,5,0,0.00%,264,18
Saturday,1/11/25,08:45-09:00,4,4,0,0.00%,276,17
Saturday,1/11/25,09:00-09:15,12,11,1,8.33%,270,38
Saturday,1/11/25,09:15-09:30,8,8,0,0.00%,264,21
Saturday,1/11/25,09:30-09:45,7,7,0,0.00%,270,20
Saturday,1/11/25,09:45-10:00,5,5,0,0.00%,264,18
Saturday,1/11/25,10:00-10:15,14,13,1,7.14%,276,42
Saturday,1/11/25,10:15-10:30,10,10,0,0.00%,270,24
Saturday,1/11/25,10:30-10:45,8,8,0,0.00%,264,21
Saturday,1/11/25,10:45-11:00,6,6,0,0.00%,270,19
Saturday,1/11/25,11:00-11:15,13,12,1,7.69%,276,41
Saturday,1/11/25,11:15-11:30,9,9,0,0.00%,270,22
Saturday,1/11/25,11:30-11:45,7,7,0,0.00%,264,20
Saturday,1/11/25,11:45-12:00,6,6,0,0.00%,270,19
Saturday,1/11/25,12:00-12:15,10,9,1,10.00%,264,35
Saturday,1/11/25,12:15-12:30,7,7,0,0.00%,270,20
Saturday,1/11/25,12:30-12:45,5,5,0,0.00%,264,18
Saturday,1/11/25,12:45-13:00,4,4,0,0.00%,270,17
Saturday,1/11/25,13:00-13:15,11,10,1,9.09%,276,37
Saturday,1/11/25,13:15-13:30,8,8,0,0.00%,270,21
Saturday,1/11/25,13:30-13:45,6,6,0,0.00%,264,19
Saturday,1/11/25,13:45-14:00,5,5,0,0.00%,270,18
Saturday,1/11/25,14:00-14:15,12,11,1,8.33%,276,39
Saturday,1/11/25,14:15-14:30,9,9,0,0.00%,270,22
Saturday,1/11/25,14:30-14:45,7,7,0,0.00%,264,20
Saturday,1/11/25,14:45-15:00,5,5,0,0.00%,270,18
Saturday,1/11/25,15:00-15:15,10,9,1,10.00%,270,36
Saturday,1/11/25,15:15-15:30,7,7,0,0.00%,264,20
Saturday,1/11/25,15:30-15:45,5,5,0,0.00%,270,18
Saturday,1/11/25,15:45-16:00,4,4,0,0.00%,264,17
Saturday,1/11/25,16:00-16:15,8,7,1,12.50%,276,40
Saturday,1/11/25,16:15-16:30,6,6,0,0.00%,270,19
Saturday,1/11/25,16:30-16:45,4,4,0,0.00%,264,17
Saturday,1/11/25,16:45-17:00,3,3,0,0.00%,270,16