Day,Date,Time_Interval,Calls_Offered,Calls_Answered,Calls_Abandoned,Abandonment_Rate_%,Average_Handle_Time_Seconds,Average_Speed_of_Answer_Seconds,Traffic_Intensity_Erlangs,Required_Agents,Occupancy_%,Estimated_ASA_Seconds,Service_Level_80/90_Met,Excel_Formula_Notes
Monday,1/6/25,08:00-08:15,18,17,1,5.56%,258,52,5.16,9,57.3%,28,Yes,"Traffic: =D2*H2/900"
Monday,1/6/25,08:15-08:30,14,13,1,7.14%,264,48,4.11,8,51.4%,32,Yes,"Agents: =ROUNDUP(J2+SQRT(J2)*1.5,0)"
Monday,1/6/25,08:30-08:45,11,11,0,0.00%,276,28,3.37,7,48.1%,24,Yes,"Occupancy: =J2/K2"
Monday,1/6/25,08:45-09:00,9,9,0,0.00%,270,24,2.70,6,45.0%,22,Yes,"For Goal Seek use Erlang C"
Monday,1/6/25,09:00-09:15,28,27,1,3.57%,264,45,8.21,12,68.4%,36,Yes,
Monday,1/6/25,09:15-09:30,19,19,0,0.00%,270,32,5.70,10,57.0%,28,Yes,
Monday,1/6/25,09:30-09:45,16,16,0,0.00%,276,30,4.91,9,54.5%,26,Yes,
Monday,1/6/25,09:45-10:00,13,13,0,0.00%,264,26,3.81,8,47.7%,24,Yes,
Monday,1/6/25,10:00-10:15,35,33,2,5.71%,276,58,10.73,16,67.1%,48,Yes,
Monday,1/6/25,10:15-10:30,24,23,1,4.17%,270,46,7.20,12,60.0%,38,Yes,
Monday,1/6/25,10:30-10:45,20,20,0,0.00%,264,34,5.87,10,58.7%,30,Yes,
Monday,1/6/25,10:45-11:00,16,16,0,0.00%,270,30,4.80,9,53.3%,26,Yes,
Monday,1/6/25,11:00-11:15,32,30,2,6.25%,282,55,10.03,15,66.9%,45,Yes,
Monday,1/6/25,11:15-11:30,22,21,1,4.55%,276,44,6.75,12,56.2%,36,Yes,
Monday,1/6/25,11:30-11:45,18,18,0,0.00%,264,32,5.28,10,52.8%,28,Yes,
Monday,1/6/25,11:45-12:00,15,15,0,0.00%,270,28,4.50,9,50.0%,26,Yes,
Monday,1/6/25,12:00-12:15,22,21,1,4.55%,258,42,6.31,11,57.4%,34,Yes,
Monday,1/6/25,12:15-12:30,15,15,0,0.00%,264,30,4.40,9,48.9%,26,Yes,
Monday,1/6/25,12:30-12:45,12,12,0,0.00%,270,25,3.60,8,45.0%,23,Yes,
Monday,1/6/25,12:45-13:00,10,10,0,0.00%,264,23,2.93,7,41.9%,21,Yes,
Monday,1/6/25,13:00-13:15,26,25,1,3.85%,276,43,7.97,13,61.3%,35,Yes,
Monday,1/6/25,13:15-13:30,18,18,0,0.00%,270,32,5.40,10,54.0%,28,Yes,
Monday,1/6/25,13:30-13:45,15,15,0,0.00%,264,28,4.40,9,48.9%,26,Yes,
Monday,1/6/25,13:45-14:00,12,12,0,0.00%,270,25,3.60,8,45.0%,23,Yes,
Monday,1/6/25,14:00-14:15,30,28,2,6.67%,282,56,9.40,15,62.7%,46,Yes,
Monday,1/6/25,14:15-14:30,21,20,1,4.76%,276,44,6.44,11,58.5%,36,Yes,
Monday,1/6/25,14:30-14:45,17,17,0,0.00%,264,31,4.99,9,55.4%,28,Yes,
Monday,1/6/25,14:45-15:00,14,14,0,0.00%,270,27,4.20,8,52.5%,25,Yes,
Monday,1/6/25,15:00-15:15,24,23,1,4.17%,270,42,7.20,12,60.0%,34,Yes,
Monday,1/6/25,15:15-15:30,17,17,0,0.00%,264,31,4.99,9,55.4%,28,Yes,
Monday,1/6/25,15:30-15:45,14,14,0,0.00%,270,27,4.20,8,52.5%,25,Yes,
Monday,1/6/25,15:45-16:00,11,11,0,0.00%,264,24,3.23,7,46.1%,22,Yes,
Monday,1/6/25,16:00-16:15,20,19,1,5.00%,276,46,6.13,11,55.8%,38,Yes,
Monday,1/6/25,16:15-16:30,14,14,0,0.00%,270,27,4.20,8,52.5%,25,Yes,
Monday,1/6/25,16:30-16:45,11,11,0,0.00%,264,24,3.23,7,46.1%,22,Yes,
Monday,1/6/25,16:45-17:00,9,9,0,0.00%,270,22,2.70,6,45.0%,20,Yes,
Tuesday,1/7/25,08:00-08:15,15,14,1,6.67%,264,50,4.40,9,48.9%,42,Yes,
Tuesday,1/7/25,08:15-08:30,11,11,0,0.00%,270,26,3.30,7,47.1%,24,Yes,
Tuesday,1/7/25,08:30-08:45,9,9,0,0.00%,264,22,2.64,6,44.0%,20,Yes,
Tuesday,1/7/25,08:45-09:00,7,7,0,0.00%,276,20,2.15,6,35.8%,18,Yes,
Tuesday,1/7/25,09:00-09:15,23,22,1,4.35%,270,44,6.90,12,57.5%,36,Yes,
Tuesday,1/7/25,09:15-09:30,16,16,0,0.00%,264,30,4.69,9,52.1%,26,Yes,
Tuesday,1/7/25,09:30-09:45,13,13,0,0.00%,270,27,3.90,8,48.8%,24,Yes,
Tuesday,1/7/25,09:45-10:00,11,11,0,0.00%,264,24,3.23,7,46.1%,22,Yes,
Tuesday,1/7/25,10:00-10:15,29,27,2,6.90%,276,54,8.89,14,63.5%,44,Yes,
Tuesday,1/7/25,10:15-10:30,20,20,0,0.00%,270,34,6.00,11,54.5%,30,Yes,
Tuesday,1/7/25,10:30-10:45,16,16,0,0.00%,264,30,4.69,9,52.1%,26,Yes,
Tuesday,1/7/25,10:45-11:00,13,13,0,0.00%,270,26,3.90,8,48.8%,24,Yes,
Tuesday,1/7/25,11:00-11:15,27,26,1,3.70%,276,43,8.28,13,63.7%,35,Yes,
Tuesday,1/7/25,11:15-11:30,19,19,0,0.00%,270,32,5.70,10,57.0%,28,Yes,
Tuesday,1/7/25,11:30-11:45,15,15,0,0.00%,264,28,4.40,9,48.9%,26,Yes,
Tuesday,1/7/25,11:45-12:00,12,12,0,0.00%,270,25,3.60,8,45.0%,23,Yes,
Tuesday,1/7/25,12:00-12:15,18,17,1,5.56%,264,40,5.28,10,52.8%,34,Yes,
Tuesday,1/7/25,12:15-12:30,13,13,0,0.00%,270,27,3.90,8,48.8%,24,Yes,
Tuesday,1/7/25,12:30-12:45,10,10,0,0.00%,264,23,2.93,7,41.9%,21,Yes,
Tuesday,1/7/25,12:45-13:00,8,8,0,0.00%,270,21,2.40,6,40.0%,19,Yes,
Tuesday,1/7/25,13:00-13:15,22,21,1,4.55%,276,42,6.75,12,56.2%,34,Yes,
Tuesday,1/7/25,13:15-13:30,15,15,0,0.00%,270,28,4.50,9,50.0%,26,Yes,
Tuesday,1/7/25,13:30-13:45,13,13,0,0.00%,264,26,3.81,8,47.7%,24,Yes,
Tuesday,1/7/25,13:45-14:00,10,10,0,0.00%,270,23,3.00,7,42.9%,21,Yes,
Tuesday,1/7/25,14:00-14:15,25,24,1,4.00%,276,42,7.67,13,59.0%,34,Yes,
Tuesday,1/7/25,14:15-14:30,18,18,0,0.00%,270,32,5.40,10,54.0%,28,Yes,
Tuesday,1/7/25,14:30-14:45,14,14,0,0.00%,264,27,4.11,8,51.4%,25,Yes,
Tuesday,1/7/25,14:45-15:00,12,12,0,0.00%,270,25,3.60,8,45.0%,23,Yes,
Tuesday,1/7/25,15:00-15:15,20,19,1,5.00%,270,41,6.00,11,54.5%,34,Yes,
Tuesday,1/7/25,15:15-15:30,14,14,0,0.00%,264,27,4.11,8,51.4%,25,Yes,
Tuesday,1/7/25,15:30-15:45,11,11,0,0.00%,270,24,3.30,7,47.1%,22,Yes,
Tuesday,1/7/25,15:45-16:00,9,9,0,0.00%,264,22,2.64,6,44.0%,20,Yes,
Tuesday,1/7/25,16:00-16:15,16,15,1,6.25%,276,45,4.91,9,54.5%,37,Yes,
Tuesday,1/7/25,16:15-16:30,11,11,0,0.00%,270,24,3.30,7,47.1%,22,Yes,
Tuesday,1/7/25,16:30-16:45,9,9,0,0.00%,264,22,2.64,6,44.0%,20,Yes,
Tuesday,1/7/25,16:45-17:00,7,7,0,0.00%,270,20,2.10,6,35.0%,18,Yes,
Wednesday,1/8/25,08:00-08:15,14,13,1,7.14%,264,48,4.11,8,51.4%,40,Yes,
Wednesday,1/8/25,08:15-08:30,10,10,0,0.00%,270,24,3.00,7,42.9%,22,Yes,
Wednesday,1/8/25,08:30-08:45,8,8,0,0.00%,264,21,2.35,6,39.1%,19,Yes,
Wednesday,1/8/25,08:45-09:00,7,7,0,0.00%,276,20,2.15,6,35.8%,18,Yes,
Wednesday,1/8/25,09:00-09:15,21,20,1,4.76%,270,42,6.30,11,57.3%,34,Yes,
Wednesday,1/8/25,09:15-09:30,15,15,0,0.00%,264,28,4.40,9,48.9%,26,Yes,
Wednesday,1/8/25,09:30-09:45,12,12,0,0.00%,270,25,3.60,8,45.0%,23,Yes,
Wednesday,1/8/25,09:45-10:00,10,10,0,0.00%,264,23,2.93,7,41.9%,21,Yes,
Wednesday,1/8/25,10:00-10:15,27,26,1,3.70%,276,43,8.28,13,63.7%,35,Yes,
Wednesday,1/8/25,10:15-10:30,19,19,0,0.00%,270,32,5.70,10,57.0%,28,Yes,
Wednesday,1/8/25,10:30-10:45,15,15,0,0.00%,264,28,4.40,9,48.9%,26,Yes,
Wednesday,1/8/25,10:45-11:00,12,12,0,0.00%,270,25,3.60,8,45.0%,23,Yes,
Wednesday,1/8/25,11:00-11:15,25,24,1,4.00%,276,42,7.67,13,59.0%,34,Yes,
Wednesday,1/8/25,11:15-11:30,18,18,0,0.00%,270,32,5.40,10,54.0%,28,Yes,
Wednesday,1/8/25,11:30-11:45,14,14,0,0.00%,264,27,4.11,8,51.4%,25,Yes,
Wednesday,1/8/25,11:45-12:00,11,11,0,0.00%,270,24,3.30,7,47.1%,22,Yes,
Wednesday,1/8/25,12:00-12:15,17,16,1,5.88%,264,39,4.99,9,55.4%,32,Yes,
Wednesday,1/8/25,12:15-12:30,12,12,0,0.00%,270,25,3.60,8,45.0%,23,Yes,
Wednesday,1/8/25,12:30-12:45,9,9,0,0.00%,264,22,2.64,6,44.0%,20,Yes,
Wednesday,1/8/25,12:45-13:00,8,8,0,0.00%,270,21,2.40,6,40.0%,19,Yes,
Wednesday,1/8/25,13:00-13:15,20,19,1,5.00%,276,41,6.13,11,55.8%,33,Yes,
Wednesday,1/8/25,13:15-13:30,14,14,0,0.00%,270,27,4.20,8,52.5%,25,Yes,
Wednesday,1/8/25,13:30-13:45,12,12,0,0.00%,264,25,3.52,8,44.0%,23,Yes,
Wednesday,1/8/25,13:45-14:00,9,9,0,0.00%,270,22,2.70,6,45.0%,20,Yes,
Wednesday,1/8/25,14:00-14:15,23,22,1,4.35%,276,42,7.05,12,58.8%,34,Yes,
Wednesday,1/8/25,14:15-14:30,16,16,0,0.00%,270,30,4.80,9,53.3%,26,Yes,
Wednesday,1/8/25,14:30-14:45,13,13,0,0.00%,264,27,3.81,8,47.7%,24,Yes,
Wednesday,1/8/25,14:45-15:00,11,11,0,0.00%,270,24,3.30,7,47.1%,22,Yes,
Wednesday,1/8/25,15:00-15:15,18,17,1,5.56%,270,40,5.40,10,54.0%,33,Yes,
Wednesday,1/8/25,15:15-15:30,13,13,0,0.00%,264,27,3.81,8,47.7%,24,Yes,
Wednesday,1/8/25,15:30-15:45,10,10,0,0.00%,270,23,3.00,7,42.9%,21,Yes,
Wednesday,1/8/25,15:45-16:00,8,8,0,0.00%,264,21,2.35,6,39.1%,19,Yes,
Wednesday,1/8/25,16:00-16:15,15,14,1,6.67%,276,45,4.60,9,51.1%,37,Yes,
Wednesday,1/8/25,16:15-16:30,10,10,0,0.00%,270,24,3.00,7,42.9%,22,Yes,
Wednesday,1/8/25,16:30-16:45,8,8,0,0.00%,264,21,2.35,6,39.1%,19,Yes,
Wednesday,1/8/25,16:45-17:00,6,6,0,0.00%,270,19,1.80,5,36.0%,17,Yes,
Thursday,1/9/25,08:00-08:15,16,15,1,6.25%,264,47,4.69,9,52.1%,39,Yes,
Thursday,1/9/25,08:15-08:30,12,12,0,0.00%,270,25,3.60,8,45.0%,23,Yes,
Thursday,1/9/25,08:30-08:45,9,9,0,0.00%,264,22,2.64,6,44.0%,20,Yes,
Thursday,1/9/25,08:45-09:00,8,8,0,0.00%,276,21,2.45,6,40.9%,19,Yes,
Thursday,1/9/25,09:00-09:15,24,23,1,4.17%,270,43,7.20,12,60.0%,35,Yes,
Thursday,1/9/25,09:15-09:30,17,17,0,0.00%,264,31,4.99,9,55.4%,27,Yes,
Thursday,1/9/25,09:30-09:45,13,13,0,0.00%,270,27,3.90,8,48.8%,24,Yes,
Thursday,1/9/25,09:45-10:00,11,11,0,0.00%,264,24,3.23,7,46.1%,22,Yes,
Thursday,1/9/25,10:00-10:15,28,27,1,3.57%,276,44,8.59,14,61.3%,36,Yes,
Thursday,1/9/25,10:15-10:30,20,20,0,0.00%,270,34,6.00,11,54.5%,30,Yes,
Thursday,1/9/25,10:30-10:45,16,16,0,0.00%,264,30,4.69,9,52.1%,26,Yes,
Thursday,1/9/25,10:45-11:00,13,13,0,0.00%,270,26,3.90,8,48.8%,24,Yes,
Thursday,1/9/25,11:00-11:15,26,25,1,3.85%,276,43,7.97,13,61.3%,35,Yes,
Thursday,1/9/25,11:15-11:30,18,18,0,0.00%,270,32,5.40,10,54.0%,28,Yes,
Thursday,1/9/25,11:30-11:45,15,15,0,0.00%,264,28,4.40,9,48.9%,26,Yes,
Thursday,1/9/25,11:45-12:00,12,12,0,0.00%,270,25,3.60,8,45.0%,23,Yes,
Thursday,1/9/25,12:00-12:15,19,18,1,5.26%,264,41,5.57,10,55.7%,34,Yes,
Thursday,1/9/25,12:15-12:30,13,13,0,0.00%,270,27,3.90,8,48.8%,24,Yes,
Thursday,1/9/25,12:30-12:45,11,11,0,0.00%,264,24,3.23,7,46.1%,22,Yes,
Thursday,1/9/25,12:45-13:00,9,9,0,0.00%,270,22,2.70,6,45.0%,20,Yes,
Thursday,1/9/25,13:00-13:15,23,22,1,4.35%,276,42,7.05,12,58.8%,34,Yes,
Thursday,1/9/25,13:15-13:30,16,16,0,0.00%,270,30,4.80,9,53.3%,26,Yes,
Thursday,1/9/25,13:30-13:45,13,13,0,0.00%,264,27,3.81,8,47.7%,24,Yes,
Thursday,1/9/25,13:45-14:00,10,10,0,0.00%,270,23,3.00,7,42.9%,21,Yes,
Thursday,1/9/25,14:00-14:15,26,25,1,3.85%,276,43,7.97,13,61.3%,35,Yes,
Thursday,1/9/25,14:15-14:30,18,18,0,0.00%,270,32,5.40,10,54.0%,28,Yes,
Thursday,1/9/25,14:30-14:45,15,15,0,0.00%,264,28,4.40,9,48.9%,26,Yes,
Thursday,1/9/25,14:45-15:00,12,12,0,0.00%,270,25,3.60,8,45.0%,23,Yes,
Thursday,1/9/25,15:00-15:15,21,20,1,4.76%,270,42,6.30,11,57.3%,34,Yes,
Thursday,1/9/25,15:15-15:30,15,15,0,0.00%,264,28,4.40,9,48.9%,26,Yes,
Thursday,1/9/25,15:30-15:45,12,12,0,0.00%,270,25,3.60,8,45.0%,23,Yes,
Thursday,1/9/25,15:45-16:00,9,9,0,0.00%,264,22,2.64,6,44.0%,20,Yes,
Thursday,1/9/25,16:00-16:15,17,16,1,5.88%,276,43,5.21,10,52.1%,35,Yes,
Thursday,1/9/25,16:15-16:30,12,12,0,0.00%,270,25,3.60,8,45.0%,23,Yes,
Thursday,1/9/25,16:30-16:45,9,9,0,0.00%,264,22,2.64,6,44.0%,20,Yes,
Thursday,1/9/25,16:45-17:00,7,7,0,0.00%,270,20,2.10,6,35.0%,18,Yes,
Friday,1/10/25,08:00-08:15,13,12,1,7.69%,264,46,3.81,8,47.7%,38,Yes,
Friday,1/10/25,08:15-08:30,10,10,0,0.00%,270,24,3.00,7,42.9%,22,Yes,
Friday,1/10/25,08:30-08:45,8,8,0,0.00%,264,21,2.35,6,39.1%,19,Yes,
Friday,1/10/25,08:45-09:00,6,6,0,0.00%,276,19,1.84,5,36.8%,17,Yes,
Friday,1/10/25,09:00-09:15,20,19,1,5.00%,270,41,6.00,11,54.5%,33,Yes,
Friday,1/10/25,09:15-09:30,14,14,0,0.00%,264,27,4.11,8,51.4%,25,Yes,
Friday,1/10/25,09:30-09:45,11,11,0,0.00%,270,24,3.30,7,47.1%,22,Yes,
Friday,1/10/25,09:45-10:00,9,9,0,0.00%,264,22,2.64,6,44.0%,20,Yes,
Friday,1/10/25,10:00-10:15,24,23,1,4.17%,276,43,7.36,12,61.3%,35,Yes,
Friday,1/10/25,10:15-10:30,17,17,0,0.00%,270,31,5.10,10,51.0%,27,Yes,
Friday,1/10/25,10:30-10:45,14,14,0,0.00%,264,27,4.11,8,51.4%,25,Yes,
Friday,1/10/25,10:45-11:00,11,11,0,0.00%,270,24,3.30,7,47.1%,22,Yes,
Friday,1/10/25,11:00-11:15,22,21,1,4.55%,276,42,6.75,12,56.2%,34,Yes,
Friday,1/10/25,11:15-11:30,15,15,0,0.00%,270,28,4.50,9,50.0%,26,Yes,
Friday,1/10/25,11:30-11:45,13,13,0,0.00%,264,26,3.81,8,47.7%,24,Yes,
Friday,1/10/25,11:45-12:00,10,10,0,0.00%,270,23,3.00,7,42.9%,21,Yes,
Friday,1/10/25,12:00-12:15,16,15,1,6.25%,264,39,4.69,9,52.1%,32,Yes,
Friday,1/10/25,12:15-12:30,11,11,0,0.00%,270,24,3.30,7,47.1%,22,Yes,
Friday,1/10/25,12:30-12:45,9,9,0,0.00%,264,22,2.64,6,44.0%,20,Yes,
Friday,1/10/25,12:45-13:00,7,7,0,0.00%,270,20,2.10,6,35.0%,18,Yes,
Friday,1/10/25,13:00-13:15,18,17,1,5.56%,276,40,5.52,10,55.2%,33,Yes,
Friday,1/10/25,13:15-13:30,13,13,0,0.00%,270,27,3.90,8,48.8%,24,Yes,
Friday,1/10/25,13:30-13:45,10,10,0,0.00%,264,23,2.93,7,41.9%,21,Yes,
Friday,1/10/25,13:45-14:00,8,8,0,0.00%,270,21,2.40,6,40.0%,19,Yes,
Friday,1/10/25,14:00-14:15,21,20,1,4.76%,276,42,6.44,11,58.5%,34,Yes,
Friday,1/10/25,14:15-14:30,15,15,0,0.00%,270,28,4.50,9,50.0%,26,Yes,
Friday,1/10/25,14:30-14:45,12,12,0,0.00%,264,25,3.52,8,44.0%,23,Yes,
Friday,1/10/25,14:45-15:00,10,10,0,0.00%,270,23,3.00,7,42.9%,21,Yes,
Friday,1/10/25,15:00-15:15,16,15,1,6.25%,270,39,4.80,9,53.3%,32,Yes,
Friday,1/10/25,15:15-15:30,11,11,0,0.00%,264,24,3.23,7,46.1%,22,Yes,
Friday,1/10/25,15:30-15:45,9,9,0,0.00%,270,22,2.70,6,45.0%,20,Yes,
Friday,1/10/25,15:45-16:00,7,7,0,0.00%,264,20,2.05,6,34.2%,18,Yes,
Friday,1/10/25,16:00-16:15,13,12,1,7.69%,276,44,3.99,8,49.8%,36,Yes,
Friday,1/10/25,16:15-16:30,9,9,0,0.00%,270,22,2.70,6,45.0%,20,Yes,
Friday,1/10/25,16:30-16:45,7,7,0,0.00%,264,20,2.05,6,34.2%,18,Yes,
Friday,1/10/25,16:45-17:00,5,5,0,0.00%,270,18,1.50,5,30.0%,16,Yes,
Saturday,1/11/25,08:00-08:15,8,8,0,0.00%,264,21,2.35,6,39.1%,19,Yes,
Saturday,1/11/25,08:15-08:30,6,6,0,0.00%,270,19,1.80,5,36.0%,17,Yes,
Saturday,1/11/25,08:30-08:45,5,5,0,0.00%,264,18,1.47,5,29.3%,16,Yes,
Saturday,1/11/25,08:45-09:00,4,4,0,0.00%,276,17,1.23,4,30.7%,15,Yes,
Saturday,1/11/25,09:00-09:15,12,11,1,8.33%,270,38,3.60,8,45.0%,31,Yes,
Saturday,1/11/25,09:15-09:30,8,8,0,0.00%,264,21,2.35,6,39.1%,19,Yes,
Saturday,1/11/25,09:30-09:45,7,7,0,0.00%,270,20,2.10,6,35.0%,18,Yes,
Saturday,1/11/25,09:45-10:00,5,5,0,0.00%,264,18,1.47,5,29.3%,16,Yes,
Saturday,1/11/25,10:00-10:15,14,13,1,7.14%,276,42,4.29,9,47.7%,34,Yes,
Saturday,1/11/25,10:15-10:30,10,10,0,0.00%,270,24,3.00,7,42.9%,22,Yes,
Saturday,1/11/25,10:30-10:45,8,8,0,0.00%,264,21,2.35,6,39.1%,19,Yes,
Saturday,1/11/25,10:45-11:00,6,6,0,0.00%,270,19,1.80,5,36.0%,17,Yes,
Saturday,1/11/25,11:00-11:15,13,12,1,7.69%,276,41,3.99,8,49.8%,33,Yes,
Saturday,1/11/25,11:15-11:30,9,9,0,0.00%,270,22,2.70,6,45.0%,20,Yes,
Saturday,1/11/25,11:30-11:45,7,7,0,0.00%,264,20,2.05,6,34.2%,18,Yes,
Saturday,1/11/25,11:45-12:00,6,6,0,0.00%,270,19,1.80,5,36.0%,17,Yes,
Saturday,1/11/25,12:00-12:15,10,9,1,10.00%,264,35,2.93,7,41.9%,28,Yes,
Saturday,1/11/25,12:15-12:30,7,7,0,0.00%,270,20,2.10,6,35.0%,18,Yes,
Saturday,1/11/25,12:30-12:45,5,5,0,0.00%,264,18,1.47,5,29.3%,16,Yes,
Saturday,1/11/25,12:45-13:00,4,4,0,0.00%,270,17,1.20,4,30.0%,15,Yes,
Saturday,1/11/25,13:00-13:15,11,10,1,9.09%,276,37,3.37,7,48.1%,30,Yes,
Saturday,1/11/25,13:15-13:30,8,8,0,0.00%,270,21,2.40,6,40.0%,19,Yes,
Saturday,1/11/25,13:30-13:45,6,6,0,0.00%,264,19,1.76,5,35.2%,17,Yes,
Saturday,1/11/25,13:45-14:00,5,5,0,0.00%,270,18,1.50,5,30.0%,16,Yes,
Saturday,1/11/25,14:00-14:15,12,11,1,8.33%,276,39,3.68,8,46.0%,32,Yes,
Saturday,1/11/25,14:15-14:30,9,9,0,0.00%,270,22,2.70,6,45.0%,20,Yes,
Saturday,1/11/25,14:30-14:45,7,7,0,0.00%,264,20,2.05,6,34.2%,18,Yes,
Saturday,1/11/25,14:45-15:00,5,5,0,0.00%,270,18,1.50,5,30.0%,16,Yes,
Saturday,1/11/25,15:00-15:15,10,9,1,10.00%,270,36,3.00,7,42.9%,29,Yes,
Saturday,1/11/25,15:15-15:30,7,7,0,0.00%,264,20,2.05,6,34.2%,18,Yes,
Saturday,1/11/25,15:30-15:45,5,5,0,0.00%,270,18,1.50,5,30.0%,16,Yes,
Saturday,1/11/25,15:45-16:00,4,4,0,0.00%,264,17,1.17,4,29.3%,15,Yes,
Saturday,1/11/25,16:00-16:15,8,7,1,12.50%,276,40,2.45,6,40.9%,32,Yes,
Saturday,1/11/25,16:15-16:30,6,6,0,0.00%,270,19,1.80,5,36.0%,17,Yes,
Saturday,1/11/25,16:30-16:45,4,4,0,0.00%,264,17,1.17,4,29.3%,15,Yes,
Saturday,1/11/25,16:45-17:00,3,3,0,0.00%,270,16,0.90,4,22.5%,14,Yes,
